Periods,Total Consumption,AC,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator
1,2.322958983918477,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.371797342050958,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
3,2.415960995878566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.302537907218246,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.363063026112907,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
6,2.334030652008964,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
7,2.299585462394116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.316069945995507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.341042708466273,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.40292103123866,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
11,2.342395912343999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2.443886203173461,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2.406488568734484,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
14,2.378686379973927,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.338582337779497,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2.256405956841217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
17,2.298232258516389,0,0.0,0.0,0.0,0.658,0.0,0.0,0.0,0.0,0.14
18,2.249885974521264,0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0
19,2.249516918918248,0,0.0,0.0,0.0,0.557,0.0,0.0,0.0,0.0,0.0
20,2.33919743045119,0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0
21,2.27375157018298,0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.14
22,2.363924155853279,0,0.0,0.0,0.0,0.793,0.0,0.0,0.0,0.0,0.0
23,2.292573405936807,0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0
24,2.208428728449108,0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0
25,2.317915224010589,0,0.0,0.0,0.0,0.397,0.0,0.0,0.0,0.0,0.0
26,2.205599302159316,0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0
27,2.255052752963491,0,0.0,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.0
28,2.284700219739128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.189360855626603,0,0.0,0.0,0.0,0.0,0.0,1.13016111111111,0.0,0.0,0.0
30,2.27854929302219,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
