,hour,generated_power,temperatureC,dewpointC,pressurehPa,wind_direction_degrees,wind_speed_KMH,wind_speed_gustKMH,Humidity,hourly_precipMM,daily_rainMM,solar_radiation_Watts_m2
0,0,0,11,8,1021,143,0,20,83,0,0,0
1,1,0,11,8,1021,130,4,6,81,0,0,0
2,2,0,11,7,1020,121,0,6,80,0,0,0
3,3,0,11,7,1018,117,12,17,77,0,0,0
4,4,0,11,7,1018,117,0,17,77,0,0,0
5,5,0,12,8,1017,130,0,14,76,0,0,0
6,6,0,14,10,1015,115,6,33,76,0,0,0
7,8,137,13,11,1015,141,14,30,90,0,0,23
8,9,274,14,12,1014,144,8,32,88,0,0,46
9,10,60,13,12,1013,166,6,27,93,3,5,7
10,11,384,13,12,1013,154,6,29,94,2,10,58
11,12,388,13,12,1013,253,1,19,95,2,14,53
12,13,537,14,13,1014,265,4,12,95,0,14,88
13,14,514,14,10,1014,273,14,30,72,0,14,77
14,15,379,14,10,1015,257,14,27,75,0,14,60
15,16,281,14,10,1015,296,8,25,75,0,14,44
16,21,0,12,8,1019,265,3,14,81,0,15,0
17,22,0,11,8,1019,270,0,19,84,0,15,0
18,23,0,11,9,1019,242,0,16,84,0,15,0
19,0,0,10,9,1019,275,4,6,91,0,0,0
20,1,0,11,8,1019,269,0,3,87,0,0,0
21,2,0,10,8,1020,267,0,11,84,0,0,0
22,3,0,11,8,1020,275,11,12,83,0,0,0
23,4,0,11,8,1020,265,4,11,79,0,0,0
24,5,0,11,6,1021,280,6,16,70,0,0,0
25,6,0,11,7,1021,281,0,0,80,0,0,0
26,8,242,9,8,1022,248,0,0,88,0,1,28
27,9,239,10,8,1023,165,6,8,88,0,1,135
28,10,883,11,9,1023,151,0,4,86,0,1,279
29,11,2019,13,9,1023,160,0,12,77,0,1,352
30,12,2509,13,8,1022,194,9,12,73,0,1,413
31,13,1492,13,8,1022,182,6,12,75,0,1,146
32,14,1322,13,9,1022,171,8,14,74,0,1,197
33,15,401,13,9,1022,179,3,9,77,0,1,67
34,16,404,12,10,1022,175,14,14,81,0,1,65
35,21,0,11,9,1020,130,4,16,83,0,1,0
36,22,0,12,9,1020,136,4,19,81,0,1,0
37,23,0,12,9,1019,163,11,22,83,0,1,0
38,0,0,12,10,1019,167,4,16,84,0,0,0
39,1,0,12,10,1017,163,12,25,81,0,0,0
40,2,0,12,10,1017,161,12,27,83,0,0,0
41,3,0,12,10,1016,147,0,24,84,0,0,0
42,4,0,13,10,1015,157,11,27,85,0,0,0
43,5,0,13,11,1015,193,14,29,84,0,0,0
44,6,0,12,11,1014,134,11,24,92,0,0,0
45,9,149,13,12,1013,138,12,29,96,6,8,21
46,10,149,13,13,1013,169,11,27,96,3,10,21
47,11,119,14,13,1013,207,14,24,97,6,15,16
