Hour,Starting minute (inclussive),Ending minute (exclussive),Generated power,TemperatureC,DewpointC,PressurehPa,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2
0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,5,10,0,0,0,0,0,0,0,0,0,0,0
0,10,15,0,11,8,1021,114,1,17,83,0,0,0
0,15,20,0,11,8,1021,134,12,17,83,0,0,0
0,20,25,0,11,8,1021,128,8,17,83,0,0,0
0,25,30,0,11,8,1021,123,6,17,83,0,0,0
0,30,35,0,11,8,1021,143,0,20,83,0,0,0
0,35,40,0,11,8,1021,128,0,20,83,0,0,0
0,40,45,0,11,8,1021,129,4,17,83,0,0,0
0,45,50,0,11,8,1021,136,4,14,83,0,0,0
0,50,55,0,11,8,1021,122,1,12,82,0,0,0
0,55,60,0,11,8,1021,125,4,11,82,0,0,0
1,0,5,0,11,8,1021,128,4,12,81,0,0,0
1,5,10,0,11,8,1021,128,0,12,81,0,0,0
1,10,15,0,11,8,1021,128,0,6,81,0,0,0
1,15,20,0,11,8,1021,130,4,11,81,0,0,0
1,20,25,0,11,8,1021,130,0,11,80,0,0,0
1,25,30,0,11,8,1021,130,4,11,81,0,0,0
1,30,35,0,11,8,1021,130,4,6,81,0,0,0
1,35,40,0,11,8,1020,130,3,11,81,0,0,0
1,40,45,0,11,8,1020,130,1,11,81,0,0,0
1,45,50,0,11,7,1020,130,3,11,81,0,0,0
1,50,55,0,11,8,1020,132,6,14,82,0,0,0
1,55,60,0,11,8,1020,131,4,14,82,0,0,0
2,0,5,0,11,8,1020,121,0,12,82,0,0,0
2,5,10,0,11,8,1020,121,4,11,82,0,0,0
2,10,15,0,11,8,1020,121,6,11,82,0,0,0
2,15,20,0,11,8,1020,121,6,11,82,0,0,0
2,20,25,0,11,7,1020,121,1,11,81,0,0,0
2,25,30,0,11,8,1020,121,4,9,81,0,0,0
2,30,35,0,11,7,1020,121,0,6,80,0,0,0
2,35,40,0,11,8,1020,121,0,11,80,0,0,0
2,40,45,0,11,7,1020,121,6,11,79,0,0,0
2,45,50,0,11,7,1020,121,1,6,79,0,0,0
2,50,55,0,11,7,1020,122,0,9,79,0,0,0
2,55,60,0,11,8,1020,122,3,9,79,0,0,0
3,0,5,0,11,7,1019,125,8,12,78,0,0,0
3,5,10,0,11,7,1019,134,6,12,77,0,0,0
3,10,15,0,11,7,1019,130,6,11,77,0,0,0
3,15,20,0,11,7,1019,118,3,11,77,0,0,0
3,20,25,0,11,7,1019,126,6,14,77,0,0,0
3,25,30,0,11,7,1019,128,4,16,77,0,0,0
3,30,35,0,11,7,1018,117,12,17,77,0,0,0
3,35,40,0,11,7,1018,137,17,22,77,0,0,0
3,40,45,0,11,7,1018,122,4,22,76,0,0,0
3,45,50,0,11,7,1018,134,11,17,76,0,0,0
3,50,55,0,11,7,1018,123,3,16,76,0,0,0
3,55,60,0,11,7,1018,121,6,14,76,0,0,0
4,0,5,0,11,7,1018,123,6,16,76,0,0,0
4,5,10,0,11,7,1018,153,1,17,76,0,0,0
4,10,15,0,11,7,1018,132,12,17,76,0,0,0
4,15,20,0,11,7,1018,133,3,16,76,0,0,0
4,20,25,0,11,7,1018,117,1,12,76,0,0,0
4,25,30,0,11,7,1018,117,1,16,77,0,0,0
4,30,35,0,11,7,1018,117,0,17,77,0,0,0
4,35,40,0,11,7,1018,111,3,19,77,0,0,0
4,40,45,0,11,7,1017,119,3,19,76,0,0,0
4,45,50,0,11,7,1017,137,6,17,76,0,0,0
4,50,55,0,12,7,1017,141,19,19,76,0,0,0
4,55,60,0,12,7,1017,149,6,19,76,0,0,0
5,0,5,0,12,8,1017,159,11,19,76,0,0,0
5,5,10,0,12,8,1017,116,6,19,76,0,0,0
5,10,15,0,12,8,1017,111,6,14,76,0,0,0
5,15,20,0,12,8,1017,121,8,12,76,0,0,0
5,20,25,0,12,8,1017,132,4,16,76,0,0,0
5,25,30,0,12,8,1017,127,3,16,76,0,0,0
5,30,35,0,12,8,1017,130,0,14,76,0,0,0
5,35,40,0,12,8,1016,131,14,17,76,0,0,0
5,40,45,0,12,8,1016,123,12,17,76,0,0,0
5,45,50,0,12,8,1016,143,6,17,76,0,0,0
5,50,55,0,13,8,1016,101,6,17,76,0,0,0
5,55,60,0,13,8,1016,125,3,19,76,0,0,0
6,0,5,0,13,9,1016,137,17,24,76,0,0,0
6,5,10,0,13,9,1016,137,14,27,76,0,0,0
6,10,15,0,13,9,1016,149,16,27,76,0,0,0
6,15,20,0,13,9,1015,128,11,27,76,0,0,0
6,20,25,0,13,10,1015,123,4,25,76,0,0,0
6,25,30,0,13,10,1015,155,11,25,76,0,0,0
6,30,35,0,14,10,1015,115,6,33,76,0,0,0
6,35,40,0,14,10,1015,168,17,33,76,0,0,0
6,40,45,0,14,10,1015,128,3,32,76,0,0,0
6,45,50,0,14,10,1015,182,8,33,76,0,0,0
6,50,55,0,14,10,1015,139,8,33,77,0,0,0
6,55,60,0,14,10,1015,146,17,37,79,0,0,0
7,0,5,0,14,10,1015,140,19,37,80,0,0,0
7,5,10,0,13,10,1015,126,4,33,82,0,0,0
7,10,15,0,13,11,1015,138,8,33,85,0,0,0
7,15,20,0,13,11,1015,159,11,37,87,0,0,0
7,20,25,0,12,11,1015,144,14,37,88,0,0,0
7,25,30,0,13,11,1015,116,12,38,89,0,0,0
7,30,35,0,13,11,1015,134,12,33,89,0,0,0
7,35,40,0,13,11,1015,136,20,33,89,0,0,0
7,40,45,0,13,11,1015,184,4,33,88,0,0,0
7,45,50,0,13,11,1015,148,20,35,88,0,0,0
7,50,55,0,13,11,1015,159,20,32,89,0,0,0
7,55,60,0,13,11,1015,156,8,43,89,0,0,0
8,0,5,0,12,11,1015,175,14,43,90,0,0,0
8,5,10,0,12,11,1015,119,29,40,91,0,0,0
8,10,15,0,12,11,1015,128,14,40,91,0,0,0
8,15,20,20,12,11,1015,154,24,35,91,0,0,5
8,20,25,83,13,11,1015,186,24,40,91,0,0,11
8,25,30,109,13,11,1015,156,14,40,91,0,0,16
8,30,35,137,13,11,1015,141,14,30,90,0,0,23
8,35,40,125,13,11,1015,134,6,37,90,0,0,18
8,40,45,124,13,11,1015,148,6,37,90,0,0,16
8,45,50,96,13,11,1015,206,1,32,90,0,0,12
8,50,55,127,13,12,1014,111,16,37,90,0,0,19
8,55,60,261,13,12,1014,128,11,40,89,0,0,40
9,0,5,263,13,12,1014,153,14,37,89,0,0,40
9,5,10,271,13,12,1014,173,24,37,89,0,0,39
9,10,15,457,13,12,1014,126,11,33,88,0,0,72
9,15,20,898,13,12,1014,148,20,40,88,0,0,144
9,20,25,748,14,12,1014,158,25,41,88,0,0,86
9,25,30,322,14,12,1014,162,22,35,88,0,0,44
9,30,35,274,14,12,1014,144,8,32,88,0,0,46
9,35,40,333,14,12,1014,156,11,32,88,0,0,53
9,40,45,201,14,12,1014,165,17,29,88,0,0,26
9,45,50,81,14,12,1014,149,12,40,88,0,0,11
9,50,55,52,0,0,0,0,0,0,0,0,0,0
9,55,60,43,14,12,1014,159,9,30,88,0,0,5
10,0,5,43,14,12,1014,171,14,30,89,2,1,0
10,5,10,45,0,0,0,0,0,0,0,0,0,0
10,10,15,62,14,12,1014,182,14,32,91,6,2,7
10,15,20,68,14,12,1013,159,3,29,92,4,3,7
10,20,25,61,13,12,1014,134,3,30,92,14,4,5
10,25,30,65,13,12,1013,173,24,30,92,5,4,7
10,30,35,60,13,12,1013,166,6,27,93,3,5,7
10,35,40,62,13,12,1013,148,6,32,93,2,5,7
10,40,45,41,13,12,1013,93,0,32,93,1,5,0
10,45,50,12,13,12,1013,167,22,30,94,5,5,0
10,50,55,0,13,12,1013,140,12,30,93,9,6,0
10,55,60,0,13,12,1013,126,8,43,94,4,7,0
11,0,5,0,13,12,1013,193,8,43,94,13,8,0
11,5,10,9,13,12,1013,135,17,38,94,9,8,5
11,10,15,76,13,12,1013,190,6,40,93,5,9,12
11,15,20,135,13,12,1013,136,27,29,93,3,9,16
11,20,25,252,13,12,1013,176,17,33,93,9,10,30
11,25,30,247,13,12,1013,176,6,32,94,2,10,32
11,30,35,384,13,12,1013,154,6,29,94,2,10,58
11,35,40,304,13,12,1013,180,6,29,94,1,10,39
11,40,45,274,13,12,1013,177,0,25,95,1,10,42
